city,rainfall,temperature,aqi,humidity,heat_index,orders_completed,active_hours,acceptance_rate,idle_time,avg_delivery_time,zone_demand,order_drop_rate,delivery_delay,traffic_level,zone_risk,experience,past_claims,trust_score,income_drop,premium_amount,weather_source
mumbai,15.47,27.14,120.2,82.44,30.3,56.6,10.49,84.21,40.87,42.04,73.01,6.24,33.71,72.61,44.26,0.95,1.0,54.04,1,74.84,deterministic_fallback
delhi,17.75,37.6,224.38,52.17,48.67,67.29,10.2,70.6,69.63,38.46,71.07,10.04,23.76,40.03,34.64,6.94,0.0,80.93,0,45.62,deterministic_fallback
delhi,6.74,25.12,,41.4,,74.93,9.72,89.05,24.06,36.22,74.13,9.04,18.29,48.84,47.4,3.26,1.0,65.22,0,60.69,deterministic_fallback
mumbai,15.4,25.57,113.75,66.12,25.57,89.58,11.33,89.17,28.81,25.45,73.92,7.1,21.6,58.62,34.99,5.33,0.0,82.38,0,44.68,deterministic_fallback
delhi,7.81,39.59,174.74,39.8,39.59,78.44,9.92,83.73,48.35,27.47,74.53,4.11,22.51,51.01,30.33,6.92,0.0,100.0,0,42.09,deterministic_fallback
,12.5,33.26,58.29,61.56,40.79,61.24,8.02,78.8,26.3,43.39,90.75,4.94,26.95,52.41,45.52,0.44,1.0,70.85,0,57.43,deterministic_fallback
mumbai,19.34,29.8,116.74,80.15,37.1,57.81,9.44,87.67,69.55,39.62,67.13,7.58,42.19,55.63,46.65,1.68,0.0,76.45,1,69.94,deterministic_fallback
chennai,5.7,27.58,125.13,77.53,30.76,82.0,9.7,91.11,69.54,35.1,86.2,7.29,18.44,50.98,15.06,8.29,0.0,100.0,0,23.58,deterministic_fallback
chennai,25.0,31.18,132.62,68.28,37.55,68.94,9.92,85.56,47.41,33.01,73.96,9.78,28.13,60.25,43.22,3.07,2.0,63.56,1,75.79,deterministic_fallback
delhi,20.54,34.75,160.38,51.83,40.78,61.1,9.04,82.25,49.95,33.78,61.53,8.08,25.91,43.84,33.62,4.73,2.0,65.53,0,58.22,deterministic_fallback
mumbai,22.89,32.64,79.56,91.58,52.73,55.61,8.53,72.54,28.49,42.92,62.4,9.49,29.55,54.99,,4.61,2.0,68.55,0,73.65,deterministic_fallback
hyderabad,7.18,37.37,96.14,74.24,60.0,79.61,,75.39,,32.7,79.17,1.68,15.32,39.35,10.0,7.31,1.0,77.58,0,29.67,deterministic_fallback
mumbai,14.29,31.79,153.5,85.31,,52.93,10.68,77.28,22.87,36.04,54.23,7.93,27.97,,42.61,3.89,2.0,64.49,0,67.4,deterministic_fallback
delhi,8.46,35.13,182.93,48.28,40.31,77.4,9.9,76.46,21.38,37.38,90.91,7.47,28.73,53.01,48.7,3.38,3.0,62.59,0,76.78,deterministic_fallback
kolkata,13.86,26.1,111.52,88.01,26.1,73.15,11.13,91.18,42.99,35.15,67.39,8.47,,41.9,42.24,0.44,0.0,65.19,0,59.4,deterministic_fallback
kolkata,6.98,28.92,83.07,92.37,37.38,80.75,9.86,79.06,47.51,32.81,71.41,8.58,28.51,52.4,23.93,3.84,0.0,80.63,0,40.55,deterministic_fallback
chennai,11.66,33.79,79.81,58.88,41.14,80.15,7.97,73.85,23.77,41.78,89.52,4.98,36.31,61.23,46.89,5.47,,82.36,1,69.08,deterministic_fallback
delhi,18.18,34.14,149.28,62.31,43.58,63.85,8.08,90.17,43.68,44.42,74.7,6.58,22.0,69.95,45.62,6.07,3.0,82.5,0,67.86,deterministic_fallback
hyderabad,1.25,29.2,117.5,53.74,30.43,86.47,,77.53,9.32,22.86,86.93,8.97,19.53,32.87,26.01,7.13,4.0,74.92,0,66.57,deterministic_fallback
hyderabad,11.27,32.97,136.34,54.62,,69.01,10.88,83.87,38.31,41.37,70.27,8.77,41.64,49.45,33.66,4.91,0.0,84.64,0,51.55,deterministic_fallback
delhi,5.46,39.45,162.36,46.6,50.76,62.24,8.67,,27.33,41.15,74.38,7.07,33.5,43.35,24.19,3.51,0.0,70.4,0,52.9,deterministic_fallback
hyderabad,18.39,35.73,111.25,62.03,48.38,60.17,10.14,74.75,36.42,39.58,79.66,3.81,21.92,52.82,47.92,0.0,0.0,69.62,0,53.88,deterministic_fallback
mumbai,29.03,34.88,143.6,71.43,50.72,55.09,10.48,89.72,55.5,36.85,61.45,9.34,28.01,36.69,34.5,1.84,0.0,70.61,0,51.99,deterministic_fallback
mumbai,20.81,,79.11,77.39,56.3,55.01,7.27,74.03,46.01,42.52,78.66,3.73,24.41,43.99,42.33,3.06,1.0,77.01,0,55.03,deterministic_fallback
bangalore,10.13,30.52,71.83,73.01,37.18,70.57,12.47,88.02,52.43,37.35,56.41,6.22,25.75,52.85,33.88,8.08,0.0,,0,42.54,deterministic_fallback
mumbai,21.53,29.23,143.13,81.47,35.73,81.0,8.25,91.78,39.96,33.68,88.73,7.01,36.81,46.63,34.97,6.14,0.0,91.48,0,51.18,deterministic_fallback
mumbai,13.82,28.43,131.45,82.15,33.58,87.01,,82.75,47.41,38.39,73.65,8.38,32.05,37.36,22.32,7.66,2.0,93.63,0,51.37,deterministic_fallback
chennai,12.27,31.66,56.86,72.39,40.28,83.42,9.62,89.78,,30.06,79.81,4.75,18.91,65.61,36.19,8.35,3.0,74.68,0,60.1,deterministic_fallback
kolkata,16.97,33.21,152.67,87.91,53.3,59.74,8.23,77.92,47.4,41.85,70.13,6.51,28.13,78.65,43.77,1.9,2.0,71.34,0,72.24,deterministic_fallback
bangalore,26.51,31.99,84.07,78.57,43.74,,8.76,82.13,59.87,40.78,59.34,5.74,30.39,56.49,46.84,0.0,2.0,45.65,1,73.51,deterministic_fallback
chennai,20.05,33.75,129.38,83.58,53.22,55.12,7.54,72.0,37.62,36.68,,6.62,25.51,34.9,31.24,4.67,4.0,69.75,0,72.07,deterministic_fallback
kolkata,17.13,36.01,101.33,85.79,60.0,73.85,9.64,75.39,41.65,45.29,,8.21,33.09,58.05,41.78,1.66,2.0,74.54,0,66.92,deterministic_fallback
mumbai,30.66,29.93,99.93,87.96,39.79,72.48,8.9,85.06,54.38,27.96,82.76,6.58,20.13,29.64,30.33,7.04,0.0,100.0,1,44.56,deterministic_fallback
bangalore,14.48,32.38,42.25,76.13,44.04,55.16,8.62,87.02,50.91,32.6,66.04,5.93,23.03,32.23,22.45,3.74,0.0,68.76,0,42.58,deterministic_fallback
delhi,10.69,38.47,187.87,71.27,60.0,47.6,6.28,67.15,42.45,47.88,73.52,8.3,28.72,65.66,60.86,0.0,,49.35,1,106.79,deterministic_fallback
mumbai,25.14,36.72,114.73,89.76,60.0,57.85,6.92,82.87,56.6,35.41,76.34,10.08,25.89,47.87,58.21,1.27,3.0,,1,88.51,deterministic_fallback
chennai,9.81,32.79,121.54,74.07,44.56,64.33,8.47,83.56,26.86,36.02,71.29,8.92,30.92,52.52,,3.51,2.0,64.83,0,69.04,deterministic_fallback
bangalore,20.48,28.42,46.37,62.34,30.4,66.98,8.94,83.43,42.92,31.21,57.58,4.15,26.96,41.61,46.68,0.64,0.0,62.43,0,52.53,deterministic_fallback
bangalore,6.05,22.18,78.5,66.39,22.18,73.28,9.96,84.46,32.21,36.22,74.32,8.21,24.08,56.81,49.29,2.8,0.0,72.16,0,53.76,deterministic_fallback
mumbai,22.88,34.96,103.71,77.18,54.52,51.16,7.22,76.09,48.47,43.6,78.07,11.76,37.11,60.19,28.34,4.11,0.0,84.91,0,44.56,deterministic_fallback
mumbai,26.44,33.2,121.94,84.21,51.18,70.76,10.37,73.53,53.45,38.61,77.43,10.05,33.77,41.9,25.37,7.5,1.0,81.96,1,69.15,deterministic_fallback
kolkata,10.67,25.88,167.37,76.25,25.88,76.38,10.05,89.68,49.13,32.86,68.74,1.13,26.16,50.34,34.69,4.78,1.0,84.58,0,50.26,deterministic_fallback
mumbai,14.73,34.41,73.43,88.72,59.65,58.19,8.27,70.92,46.76,40.42,75.05,7.74,27.49,46.82,44.41,0.0,0.0,57.64,0,57.12,deterministic_fallback
delhi,13.25,31.59,149.7,38.94,31.59,85.61,10.98,96.94,40.24,32.73,84.69,,34.7,45.51,39.95,2.24,0.0,72.2,0,58.97,deterministic_fallback
delhi,11.94,36.25,134.31,36.9,36.25,89.73,12.28,83.7,37.37,32.48,69.76,6.25,33.22,38.72,26.1,6.13,2.0,81.01,0,52.8,deterministic_fallback
bangalore,1.95,24.97,70.12,67.08,24.97,61.81,11.16,82.87,54.4,40.31,72.73,13.07,21.23,57.23,33.8,3.27,4.0,66.04,0,80.3,deterministic_fallback
hyderabad,2.95,29.07,131.17,51.5,29.94,95.0,10.15,86.72,8.93,25.61,100.0,0.95,27.84,34.17,31.05,,0.0,89.36,1,40.56,deterministic_fallback
bangalore,,26.64,68.35,58.2,26.64,76.58,9.36,100.0,26.28,33.7,84.09,7.3,34.19,44.65,30.17,7.96,1.0,100.0,0,38.87,deterministic_fallback
mumbai,2.9,28.47,,73.14,32.11,75.66,10.56,75.82,48.06,30.68,59.4,8.28,28.72,56.58,40.99,0.32,0.0,,0,54.24,deterministic_fallback
delhi,27.81,33.61,205.72,45.13,36.11,54.85,10.87,83.55,71.48,45.57,65.46,9.9,30.05,59.54,30.81,3.94,0.0,74.55,1,68.2,deterministic_fallback
chennai,5.24,34.61,107.14,74.5,51.46,70.43,9.23,81.06,37.12,39.04,69.68,6.83,26.62,54.67,35.23,4.86,1.0,90.11,0,43.34,deterministic_fallback
hyderabad,8.74,30.36,128.63,,32.27,82.69,10.32,79.86,36.52,29.41,82.6,4.62,33.68,53.84,44.71,6.75,3.0,,1,81.03,deterministic_fallback
hyderabad,17.96,43.31,125.45,55.12,,61.38,8.37,91.14,25.53,39.22,81.49,6.24,32.55,44.63,32.63,7.17,2.0,88.58,0,57.57,deterministic_fallback
hyderabad,14.1,,35.0,59.09,34.88,52.25,7.94,79.4,42.12,31.15,65.76,8.65,29.6,63.89,43.74,1.39,1.0,70.54,0,62.5,deterministic_fallback
chennai,16.72,28.31,76.9,83.45,33.5,83.46,10.05,84.5,45.27,30.38,93.6,2.65,36.59,41.14,31.67,4.07,2.0,65.81,0,63.76,deterministic_fallback
mumbai,12.76,27.72,80.99,90.79,33.0,85.29,10.96,94.93,57.14,35.1,80.24,,21.34,41.6,33.28,7.33,1.0,82.24,0,49.5,deterministic_fallback
delhi,13.92,40.4,154.3,51.3,57.07,68.53,8.41,73.42,42.4,47.45,73.79,,31.87,61.03,26.78,7.71,2.0,90.04,0,42.71,deterministic_fallback
bangalore,9.24,24.77,110.85,70.54,24.77,70.98,11.47,87.71,32.88,38.4,67.36,8.26,29.05,51.37,28.41,7.16,2.0,83.07,0,53.12,deterministic_fallback
delhi,8.4,29.34,172.33,48.21,,82.48,11.72,85.46,43.37,33.89,67.86,9.22,25.56,53.1,31.88,6.52,1.0,100.0,0,46.07,deterministic_fallback
chennai,17.4,37.47,164.67,79.24,60.0,49.54,7.31,72.29,32.16,45.73,57.97,16.57,22.91,63.27,49.32,1.78,0.0,64.83,0,73.81,deterministic_fallback
bangalore,15.75,26.08,43.52,72.38,26.08,70.9,10.51,90.65,57.75,37.11,71.78,,32.71,47.01,27.48,2.85,0.0,75.38,1,57.69,deterministic_fallback
chennai,3.59,32.42,54.79,84.89,48.26,70.37,9.35,79.57,17.7,41.84,69.56,3.08,23.31,27.54,15.69,5.67,1.0,85.64,0,35.21,deterministic_fallback
chennai,18.23,34.56,124.81,60.35,43.92,56.79,7.05,65.21,49.56,36.24,79.22,12.47,24.61,58.53,46.14,1.31,0.0,76.66,0,54.33,deterministic_fallback
bangalore,32.78,30.06,71.48,68.75,34.89,66.12,9.49,83.98,56.21,42.9,69.51,1.54,29.49,53.83,38.26,5.8,2.0,74.11,0,57.88,deterministic_fallback
kolkata,13.54,39.95,127.74,84.8,60.0,75.23,6.88,72.51,45.83,35.22,84.08,,25.48,43.7,38.26,4.56,0.0,71.71,0,42.51,deterministic_fallback
hyderabad,29.69,24.9,107.19,,24.9,76.38,10.03,86.78,50.58,39.8,77.12,8.52,28.84,46.71,47.46,2.89,0.0,85.08,0,60.7,deterministic_fallback
chennai,9.85,29.9,90.24,67.27,34.16,84.2,10.84,84.22,39.43,31.47,80.8,6.22,30.43,50.12,34.99,2.86,1.0,71.91,0,54.57,deterministic_fallback
delhi,10.91,34.12,157.97,39.48,34.12,84.08,10.01,81.42,40.44,29.17,85.29,7.94,29.77,38.27,37.77,5.87,2.0,87.06,0,54.69,deterministic_fallback
bangalore,13.46,35.94,84.03,75.53,57.66,70.09,7.35,72.86,47.05,38.6,95.32,6.53,26.85,47.85,31.13,4.06,1.0,82.87,0,55.68,deterministic_fallback
bangalore,7.88,31.39,94.35,62.58,36.41,69.9,10.37,94.86,62.63,30.73,,9.45,22.03,47.37,34.05,2.54,0.0,80.91,0,42.06,deterministic_fallback
mumbai,21.39,34.33,160.7,65.67,45.74,78.92,11.7,80.77,32.47,40.44,80.63,6.68,29.18,54.84,45.48,3.46,1.0,71.48,0,62.9,deterministic_fallback
delhi,10.07,32.6,175.92,56.66,37.44,60.61,7.54,90.71,22.49,42.29,77.44,7.05,26.1,64.57,58.66,4.01,0.0,75.88,0,53.3,deterministic_fallback
kolkata,8.76,28.49,109.07,85.37,34.39,95.0,10.38,80.72,21.26,26.98,88.32,10.92,24.52,58.59,39.48,5.55,0.0,73.54,0,53.05,deterministic_fallback
hyderabad,9.89,29.9,93.08,,32.24,,9.69,87.05,15.0,31.76,81.82,8.64,20.34,42.02,31.55,8.17,1.0,,0,49.88,deterministic_fallback
mumbai,11.17,26.54,158.68,71.58,26.54,85.84,9.58,80.04,28.92,32.27,85.1,7.48,37.76,64.49,47.1,3.43,2.0,70.61,0,69.83,deterministic_fallback
delhi,12.56,40.72,203.16,49.1,56.49,35.28,7.96,81.34,29.45,42.89,,9.68,30.19,47.29,31.8,0.49,2.0,51.72,1,77.06,deterministic_fallback
mumbai,15.89,31.68,68.76,89.0,47.07,64.2,8.91,72.16,43.74,46.17,70.85,12.01,29.66,65.49,27.44,8.87,0.0,94.81,1,44.45,deterministic_fallback
mumbai,14.37,31.29,,66.23,37.23,65.64,10.43,85.82,54.57,34.28,66.06,3.83,30.34,49.35,45.02,1.11,0.0,67.46,0,54.78,deterministic_fallback
kolkata,16.0,33.91,94.92,69.77,46.34,78.84,9.14,84.3,45.11,31.66,77.44,3.72,18.52,33.04,30.26,6.63,0.0,100.0,0,40.26,deterministic_fallback
bangalore,13.18,21.04,56.13,64.03,21.04,62.85,7.58,86.58,37.93,29.51,73.21,5.14,22.35,59.89,36.59,1.83,1.0,66.22,0,60.36,deterministic_fallback
delhi,14.08,34.02,187.28,49.91,38.4,73.44,11.01,69.36,40.31,44.3,63.96,8.96,32.97,56.31,37.59,3.0,2.0,60.28,1,85.76,deterministic_fallback
hyderabad,7.78,28.06,102.08,54.65,28.96,76.62,,73.42,67.14,40.34,70.6,9.28,29.87,,23.46,7.8,2.0,99.2,0,44.87,deterministic_fallback
mumbai,23.59,31.73,114.55,85.03,45.53,50.75,8.18,78.75,57.96,31.25,,6.07,32.11,56.42,38.57,0.7,0.0,59.79,0,62.11,deterministic_fallback
delhi,9.13,32.78,225.21,58.44,38.43,48.59,9.86,77.4,57.54,43.49,51.16,5.57,18.76,82.97,56.54,1.22,2.0,70.37,1,87.12,deterministic_fallback
hyderabad,5.76,28.52,129.24,60.69,30.34,81.68,11.47,81.07,41.86,29.77,,3.4,29.17,53.91,48.29,4.56,3.0,69.71,0,73.05,deterministic_fallback
hyderabad,8.91,32.1,89.93,63.2,38.33,75.63,10.86,80.84,43.54,36.42,71.29,4.27,26.15,69.82,56.09,0.71,1.0,62.2,1,72.97,deterministic_fallback
kolkata,15.01,32.06,159.35,84.38,46.52,74.49,10.53,71.34,66.63,32.12,73.19,5.1,20.13,47.96,40.14,0.0,1.0,69.13,0,62.3,deterministic_fallback
hyderabad,4.48,30.71,73.2,,33.87,83.37,10.64,78.65,35.11,25.49,80.2,0.03,14.61,50.5,24.24,5.85,1.0,75.67,0,33.31,deterministic_fallback
bangalore,8.24,28.98,90.48,58.31,30.74,90.44,,86.81,37.1,33.84,98.32,4.99,23.69,51.58,21.56,7.74,1.0,86.46,0,41.84,deterministic_fallback
chennai,19.18,30.69,110.71,67.31,36.04,76.64,11.55,76.33,24.06,43.81,85.73,5.64,38.87,55.5,24.87,6.43,,85.48,1,54.6,deterministic_fallback
kolkata,14.99,34.63,148.57,71.39,49.76,77.79,8.71,77.75,33.85,35.3,86.34,7.08,32.41,53.94,23.41,8.14,1.0,94.64,0,38.23,deterministic_fallback
chennai,18.82,34.27,36.92,74.32,50.05,76.9,9.49,77.33,26.57,36.01,78.61,12.02,33.12,15.23,25.95,4.2,1.0,96.0,0,50.25,deterministic_fallback
kolkata,21.55,30.7,128.61,84.58,41.46,63.75,7.1,82.5,51.47,41.84,81.01,3.69,29.74,54.69,43.9,5.31,0.0,80.19,0,56.61,deterministic_fallback
chennai,9.53,28.91,,63.17,31.37,78.74,8.38,100.0,27.53,34.98,78.29,9.23,26.56,40.19,24.0,7.95,4.0,74.26,0,61.85,deterministic_fallback
kolkata,14.81,28.89,147.53,82.77,35.03,71.71,10.36,77.61,44.55,43.26,,10.85,22.43,53.79,50.55,3.49,4.0,56.3,0,92.36,deterministic_fallback
mumbai,16.16,37.44,144.25,72.29,60.0,59.7,8.59,74.75,34.98,46.07,89.55,9.28,23.78,57.22,56.19,0.9,1.0,63.98,0,74.51,deterministic_fallback
chennai,12.13,32.15,115.42,66.42,39.54,55.04,9.27,85.87,32.84,45.09,72.92,8.05,30.84,63.32,41.55,2.46,1.0,72.98,0,60.79,deterministic_fallback
bangalore,16.97,21.4,74.1,64.36,21.4,66.75,9.43,90.17,34.13,30.98,63.78,9.86,19.44,55.77,40.99,5.81,0.0,83.76,0,44.71,deterministic_fallback
bangalore,9.32,29.6,95.61,59.78,32.04,89.48,9.96,86.52,32.06,34.64,,7.86,21.43,37.87,16.91,7.52,1.0,92.93,0,31.75,deterministic_fallback
hyderabad,14.09,29.68,100.79,63.98,33.01,82.11,10.53,96.51,36.5,37.33,84.93,9.77,26.8,33.44,28.22,4.77,0.0,97.56,0,47.24,deterministic_fallback
kolkata,6.15,,,80.15,41.11,61.07,7.1,86.83,42.31,35.55,74.83,7.44,34.64,68.37,41.62,1.83,0.0,70.65,0,51.63,deterministic_fallback
kolkata,14.13,28.44,,88.65,34.89,77.5,10.51,89.61,36.91,20.29,52.71,3.95,21.88,48.56,44.67,1.39,0.0,70.62,0,38.52,deterministic_fallback
delhi,25.51,41.13,198.6,47.49,56.61,71.49,8.45,68.12,45.18,37.17,86.5,11.44,22.31,,50.45,6.32,1.0,100.0,1,69.68,deterministic_fallback
chennai,36.05,31.21,133.52,73.64,39.35,68.44,9.8,85.47,53.05,38.42,79.33,14.46,22.17,70.79,26.55,7.95,0.0,93.68,1,45.82,deterministic_fallback
chennai,15.24,41.35,127.84,90.21,60.0,47.1,7.77,69.69,30.57,42.44,69.06,6.47,30.06,46.22,38.22,1.79,0.0,64.89,0,53.63,deterministic_fallback
delhi,8.76,31.57,187.38,36.72,31.57,80.42,8.58,80.09,39.6,31.7,83.52,7.32,22.55,50.99,42.75,2.75,0.0,71.37,0,48.01,deterministic_fallback
mumbai,,29.57,144.03,89.13,38.86,54.9,8.56,78.22,68.55,35.81,53.21,7.16,28.04,53.47,36.16,2.99,0.0,72.07,1,56.31,deterministic_fallback
mumbai,15.26,35.91,188.8,92.46,60.0,63.8,9.47,70.99,38.23,36.12,,4.25,25.5,37.04,39.84,1.46,0.0,55.96,1,64.21,deterministic_fallback
chennai,19.78,33.95,130.43,81.71,52.99,59.41,,79.7,24.72,36.45,67.16,5.18,26.45,35.75,38.55,2.64,3.0,63.7,0,72.02,deterministic_fallback
bangalore,22.39,35.56,47.74,67.15,50.72,73.51,9.37,81.03,60.86,38.64,84.97,8.88,34.75,48.41,38.6,0.43,,61.67,0,72.99,deterministic_fallback
kolkata,30.3,32.97,140.96,94.84,56.23,58.98,6.84,78.29,66.26,39.85,74.44,8.43,35.52,56.1,54.38,3.49,1.0,72.93,0,70.1,deterministic_fallback
bangalore,3.2,26.72,89.28,65.68,28.09,60.71,10.09,84.87,57.73,36.61,63.0,6.54,28.86,50.19,32.29,0.0,0.0,63.73,0,53.28,deterministic_fallback
kolkata,16.98,38.87,154.69,76.71,60.0,65.24,7.56,73.6,39.79,45.87,85.04,7.31,26.3,46.23,46.38,4.09,1.0,78.83,0,58.04,deterministic_fallback
bangalore,9.39,21.99,112.08,65.65,21.99,,9.97,85.0,36.99,30.38,56.5,6.11,22.94,56.26,38.28,8.44,1.0,87.79,0,50.96,deterministic_fallback
chennai,,25.07,35.0,69.98,25.07,76.82,9.62,84.21,21.43,30.46,77.29,4.66,27.1,27.64,32.37,0.8,2.0,60.09,1,66.92,deterministic_fallback
mumbai,16.07,29.29,167.22,71.71,33.73,71.5,11.6,79.09,61.87,29.57,58.99,9.06,32.2,54.69,45.11,2.73,1.0,74.68,0,63.03,deterministic_fallback
bangalore,10.08,31.62,138.18,77.69,42.11,69.16,11.68,,62.63,30.1,71.97,6.97,19.29,56.52,40.51,5.36,0.0,75.48,0,46.38,deterministic_fallback
chennai,19.56,26.17,111.0,69.38,26.17,85.19,10.51,90.35,34.67,39.66,76.17,5.94,37.03,54.19,33.67,7.27,1.0,100.0,0,43.64,deterministic_fallback
kolkata,10.41,33.08,149.04,81.6,49.27,69.36,8.66,91.7,7.39,45.49,87.47,7.78,26.52,,33.46,7.23,0.0,86.61,0,48.45,deterministic_fallback
chennai,4.48,32.43,84.01,62.81,39.04,62.47,8.1,81.65,32.26,32.28,93.75,4.98,28.43,44.03,36.27,0.17,2.0,47.23,0,70.98,deterministic_fallback
mumbai,23.68,36.29,108.87,80.14,60.0,,6.23,67.09,41.7,49.88,54.2,10.84,,55.1,47.35,2.17,2.0,65.79,1,84.58,deterministic_fallback
delhi,7.37,40.13,212.83,40.34,,79.49,10.92,87.35,33.27,36.85,80.95,7.53,20.32,61.57,32.31,7.51,1.0,96.49,0,48.27,deterministic_fallback
mumbai,17.24,31.62,140.0,69.94,39.29,76.52,8.08,72.96,35.67,34.48,95.28,8.37,29.43,47.49,40.31,3.29,1.0,78.8,0,64.7,deterministic_fallback
mumbai,19.78,34.2,143.57,78.71,52.3,67.97,8.36,84.45,53.73,48.0,71.78,8.13,31.3,60.98,34.33,7.19,0.0,99.0,0,38.67,deterministic_fallback
hyderabad,22.38,34.21,135.07,68.25,46.61,57.4,8.87,69.22,45.53,38.34,63.08,7.82,32.7,71.25,54.45,0.41,2.0,52.66,0,87.46,deterministic_fallback
hyderabad,11.48,29.66,114.55,62.44,32.65,69.14,7.03,87.93,40.8,36.4,74.93,7.41,23.76,42.77,57.38,1.53,3.0,58.38,0,84.33,deterministic_fallback
chennai,16.25,28.33,111.95,79.37,32.84,64.46,8.53,81.86,,33.13,80.23,8.22,14.2,50.33,36.06,1.44,0.0,66.4,0,50.09,deterministic_fallback
kolkata,23.69,30.04,101.06,81.86,38.34,60.68,7.95,87.13,17.55,32.72,75.97,7.55,22.83,46.6,45.82,0.0,1.0,59.42,0,71.42,deterministic_fallback
chennai,8.51,31.23,113.1,72.0,38.87,71.34,9.4,99.32,39.28,28.85,77.24,6.73,24.52,27.2,,8.14,0.0,,0,28.97,deterministic_fallback
chennai,5.93,32.35,156.65,80.8,46.01,76.55,9.8,77.23,38.11,,70.55,6.24,32.55,61.86,43.83,7.25,0.0,91.81,0,48.73,deterministic_fallback
mumbai,29.13,23.74,115.19,75.83,23.74,61.96,10.87,79.75,34.34,42.49,85.27,3.88,33.46,60.12,42.29,2.76,0.0,72.28,1,62.31,deterministic_fallback
delhi,17.17,35.59,213.07,57.05,45.34,41.59,8.08,78.65,41.75,40.19,58.74,9.68,37.31,60.57,50.92,0.08,1.0,45.61,1,81.84,deterministic_fallback
hyderabad,15.09,33.83,76.04,69.09,45.77,56.73,8.57,88.56,48.42,35.45,51.18,3.68,24.29,43.01,41.68,0.0,0.0,67.81,0,53.94,deterministic_fallback
chennai,5.23,33.99,97.04,67.69,45.59,52.87,9.19,81.3,43.96,34.3,58.91,4.8,23.75,53.89,38.84,1.69,0.0,71.84,0,50.33,deterministic_fallback
mumbai,11.61,38.01,110.33,73.37,60.0,54.49,7.2,72.71,45.0,38.98,72.38,4.84,,34.38,27.25,6.19,0.0,74.31,0,39.13,deterministic_fallback
bangalore,11.79,26.55,116.94,64.58,26.55,78.8,10.85,88.56,43.16,38.11,94.93,5.03,26.4,52.87,38.18,7.75,0.0,100.0,0,26.89,deterministic_fallback
hyderabad,9.28,31.37,152.01,47.01,32.64,80.53,10.72,81.17,28.01,,63.31,5.46,31.2,47.0,42.34,4.58,0.0,82.68,0,52.03,deterministic_fallback
mumbai,12.54,23.05,118.75,75.25,23.05,88.2,7.26,,5.18,40.05,95.84,7.78,22.66,61.48,35.35,8.33,1.0,89.96,0,42.63,deterministic_fallback
bangalore,12.56,31.26,104.72,79.42,41.56,87.7,10.45,82.45,36.83,35.7,93.33,8.06,30.93,42.12,22.91,8.04,0.0,91.81,1,40.48,deterministic_fallback
kolkata,9.49,27.04,166.34,,29.22,85.13,10.34,93.4,47.57,33.65,78.51,7.85,32.46,50.96,30.45,5.96,,80.81,0,47.12,deterministic_fallback
hyderabad,27.12,37.85,103.26,70.77,60.0,27.69,7.77,74.03,55.16,47.26,43.53,11.43,34.73,59.27,46.41,0.0,2.0,47.88,1,83.3,deterministic_fallback
delhi,8.64,40.72,181.97,46.22,54.34,77.79,10.09,68.68,50.64,37.17,65.83,15.54,32.24,51.9,,7.58,0.0,91.3,0,57.11,deterministic_fallback
chennai,10.11,26.17,135.13,91.72,26.17,72.33,8.45,86.94,29.51,29.12,73.07,7.61,21.65,51.2,33.89,7.6,0.0,100.0,0,47.84,deterministic_fallback
delhi,5.09,36.21,173.17,43.95,41.06,82.8,8.51,88.47,30.86,35.21,92.96,8.96,22.56,51.09,29.99,5.29,0.0,88.92,0,40.03,deterministic_fallback
chennai,17.34,38.62,106.04,74.24,60.0,63.81,8.14,69.37,31.73,40.06,70.97,8.17,30.32,43.68,38.29,5.47,2.0,93.83,0,62.88,deterministic_fallback
delhi,14.47,40.04,246.16,42.88,50.11,45.87,6.46,72.09,53.95,38.12,66.47,10.88,24.9,53.78,32.02,7.37,2.0,89.87,0,60.41,deterministic_fallback
hyderabad,10.84,24.56,86.03,53.37,24.56,72.62,10.03,84.69,30.76,39.69,79.4,3.03,30.47,55.32,25.5,5.59,1.0,87.97,0,44.13,deterministic_fallback
delhi,17.6,32.07,192.03,61.11,37.59,64.04,10.64,83.97,75.64,39.29,56.73,1.83,31.12,60.02,46.34,3.04,0.0,69.8,0,53.59,deterministic_fallback
delhi,6.44,31.58,194.29,53.31,34.38,72.16,10.66,92.77,31.55,32.19,74.68,2.2,24.86,44.33,29.27,5.51,2.0,78.56,1,64.83,deterministic_fallback
kolkata,7.79,33.02,,89.85,53.54,,8.99,78.77,49.24,38.01,71.35,5.22,28.94,46.94,22.6,6.98,0.0,93.51,0,28.65,deterministic_fallback
mumbai,6.78,30.64,126.73,68.02,36.09,69.54,9.67,99.94,29.85,35.4,98.63,10.25,30.39,55.23,55.38,0.64,2.0,61.67,0,81.27,deterministic_fallback
mumbai,14.43,20.42,172.24,84.39,20.42,72.05,9.76,81.16,61.89,37.28,66.74,8.28,27.8,54.86,47.01,6.33,0.0,90.77,0,55.72,deterministic_fallback
delhi,13.96,,207.64,42.35,36.56,61.79,9.31,88.1,56.06,35.58,87.24,7.31,25.12,52.65,67.31,0.82,0.0,68.23,0,73.33,deterministic_fallback
